MYDEPV,Price,Income,Age
1,10,33,37
0,20,21,55
1,30,59,55
1,20,76,44
0,30,24,37
0,20,22,32
1,10,28,32
1,10,49,38
0,30,76,43
1,20,59,55
0,30,45,32
0,30,21,46
0,30,49,44
0,10,23,30
1,10,55,55
0,20,29,32
1,10,49,44
0,20,45,32
0,20,24,37
0,10,30,32
0,10,24,55
1,10,59,55
0,30,31,32
0,20,33,32
0,30,22,32
0,30,29,32
0,10,30,32
0,20,28,32
1,30,59,55
0,30,56,43
1,30,77,43
1,20,97,18
0,20,23,32
0,30,25,37
0,30,23,32
0,30,88,43
0,30,49,44
1,30,76,44
1,20,67,25
1,10,55,55
0,20,26,37
1,20,49,44
1,20,68,25
0,30,45,32
1,20,68,43
0,20,32,35
1,30,22,55
1,30,55,55
1,20,66,43
0,20,29,32
1,10,49,44
1,10,28,32
1,10,23,37
0,20,45,32
0,30,22,37
1,10,66,25
0,20,30,32
0,20,43,27
0,20,34,55
0,30,32,32
1,10,67,25
0,20,25,27
1,20,49,38
0,30,33,55
0,20,30,32
1,10,34,37
0,30,33,32
0,10,32,27
0,20,30,32
1,20,66,25
0,30,29,32
1,10,25,37
1,20,55,55
0,30,22,32
1,10,28,38
0,20,22,44
0,30,28,32
0,10,45,32
1,20,65,22
1,10,78,21
1,30,66,25
1,20,99,25
0,10,21,44
0,20,23,37
0,30,22,37
1,30,88,43
0,30,28,32
1,30,49,55
1,10,55,55
0,20,29,32
0,30,87,43
1,30,66,25
1,20,77,22
1,10,26,37
0,30,45,32
0,20,43,22
1,30,64,33
0,20,45,32
0,10,30,32
0,30,56,43
0,20,30,32
0,30,30,32
1,10,78,25
1,20,77,43
1,20,49,38
0,30,32,35
0,10,29,32
1,20,89,22
0,30,30,32
1,30,55,55
0,20,22,32
0,20,32,32
0,30,30,32
0,30,49,44
1,10,77,43
1,20,59,55
0,20,30,32
0,30,22,27
1,20,68,25
1,10,59,55
1,30,17,23
0,20,22,32
1,10,44,43
1,20,76,21
0,20,29,32
1,10,59,55
0,20,29,32
0,30,23,30
1,20,49,44
0,20,33,32
0,20,23,32
1,10,64,33
1,10,49,44
1,30,57,25
1,10,28,32
0,10,22,32
0,30,22,44
0,20,33,23
0,30,46,43
0,30,22,32
1,20,59,55
0,10,22,32
1,20,59,55
1,10,33,24
0,10,55,44
0,30,49,38
1,30,77,25
0,20,22,37
1,30,55,55
1,30,22,25
1,10,44,37
0,30,21,37
1,20,49,44
